id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,106744
4,어,13604
5,이,9398
6,가,8852
7,나,8255
8,아,7492
9,고,6892
10,지,6669
11,는,6584
12,서,6229
13,해,5615
14,그,5003
15,에,4973
16,다,4833
17,하,4198
18,기,3904
19,도,3845
20,무,3838
21,있,3777
22,야,3524
23,데,2990
24,을,2951
25,거,2904
26,너,2881
27,니,2841
28,들,2815
29,게,2720
30,까,2480
31,은,2449
32,좋,2364
33,래,2350
34,로,2325
35,내,2246
36,한,2173
37,라,2157
38,새,2068
39,일,2012
40,구,1985
41,사,1984
42,리,1927
43,같,1904
44,를,1873
45,만,1861
46,했,1860
47,안,1817
48,겠,1811
49,려,1793
50,었,1769
51,면,1701
52,없,1674
53,것,1627
54,마,1619
55,오,1598
56,자,1585
57,주,1475
58,정,1473
59,음,1420
60,금,1379
61,말,1324
62,트,1306
63,으,1299
64,경,1291
65,제,1281
66,진,1261
67,왔,1252
68,수,1245
69,시,1220
70,집,1218
71,우,1156
72,보,1153
73,히,1149
74,짜,1145
75,레,1124
76,식,1115
77,분,1112
78,더,1110
79,당,1067
80,워,1055
81,전,1042
82,많,1039
83,청,1010
84,장,1000
85,화,989
86,몰,966
87,놀,944
88,짭,938
89,피,923
90,대,919
91,러,917
92,못,895
93,인,878
94,소,869
95,았,867
96,요,856
97,되,855
98,생,848
99,할,823
100,않,816
101,람,808
102,때,792
103,행,788
104,알,779
105,쓰,773
106,늘,765
107,줘,764
108,버,763
109,났,762
110,비,761
111,친,741
112,동,731
113,물,729
114,봐,724
115,문,706
116,첨,703
117,런,699
118,상,698
119,팡,696
120,곰,694
121,냄,674
122,신,669
123,끝,663
124,길,658
125,좀,656
126,됐,645
127,여,637
128,번,629
129,괜,628
130,찮,625
131,실,625
132,힘,624
133,운,605
134,건,603
135,줄,592
136,작,592
137,테,588
138,와,582
139,모,581
140,천,575
141,잘,566
142,르,564
143,바,560
144,통,549
145,과,544
146,렇,540
147,산,539
148,벤,539
149,악,538
150,울,536
151,궁,536
152,싶,531
153,응,522
154,속,520
155,엄,508
156,달,499
157,뭐,494
158,볼,491
159,즘,487
160,갇,485
161,향,482
162,증,477
163,맞,474
164,먹,471
165,갔,467
166,추,460
167,네,458
168,명,450
169,던,449
170,랑,447
171,난,446
172,드,445
173,왜,441
174,회,438
175,랐,435
176,냥,432
177,간,432
178,의,431
179,선,431
180,각,431
181,갈,430
182,디,429
183,휴,425
184,방,423
185,부,419
186,터,418
187,녀,417
188,완,416
189,치,409
190,벌,408
191,프,404
192,겨,397
193,매,395
194,계,392
195,스,390
196,든,390
197,젝,389
198,돼,388
199,영,387
200,역,385
201,밖,380
202,날,377
203,끼,372
204,근,371
205,목,370
206,깜,364
207,져,360
208,록,356
209,짝,352
210,혼,351
211,루,336
212,올,333
213,얼,331
214,심,331
215,노,327
216,연,326
217,축,325
218,책,325
219,갑,322
220,른,321
221,애,318
222,톤,311
223,조,311
224,코,308
225,잖,301
226,였,288
227,질,286
228,망,286
229,처,282
230,키,280
231,몸,278
232,저,277
233,잠,275
234,환,273
235,졌,271
236,봤,259
237,받,258
238,렸,255
239,끊,250
240,찰,249
241,떻,249
242,직,248
243,긴,248
244,유,246
245,슨,246
246,종,245
247,미,243
248,결,243
249,변,236
250,헐,235
251,걸,234
252,답,233
253,랬,230
254,막,227
255,재,224
256,큰,221
257,찍,221
258,강,216
259,된,212
260,뽑,211
261,북,211
262,단,208
263,세,206
264,떨,203
265,빨,199
266,열,196
267,될,195
268,럼,194
269,뛰,191
270,언,189
271,온,188
272,욕,185
273,싸,185
274,걱,182
275,원,181
276,잡,176
277,듣,171
278,남,171
279,둥,170
280,씨,169
281,효,167
282,약,167
283,베,162
284,엘,161
285,차,159
286,출,157
287,샀,157
288,별,157
289,풀,156
290,갱,156
291,중,154
292,크,151
293,럴,151
294,확,150
295,위,149
296,쉬,148
297,갖,148
298,력,147
299,떡,147
300,힌,145
301,쳐,145
302,입,144
303,발,143
304,린,140
305,습,138
306,빠,138
307,뭘,138
308,겼,137
309,플,135
310,꾸,135
311,개,134
312,켜,133
313,혔,130
314,적,130
315,택,129
316,손,129
317,순,127
318,랜,127
319,찾,125
320,앞,125
321,놨,123
322,승,122
323,싼,119
324,섭,119
325,맛,119
326,용,118
327,써,118
328,성,116
329,튜,115
330,광,115
331,느,111
332,점,109
333,또,109
334,엉,108
335,두,106
336,릴,105
337,항,103
338,닌,102
339,곳,102
340,창,101
341,년,101
342,살,100
343,싫,97
344,팔,96
345,란,96
346,톡,95
347,착,95
348,불,95
349,뒷,95
350,품,94
351,표,93
352,획,92
353,떤,92
354,깐,90
355,빼,89
356,법,89
357,혀,88
